step,train_loss,train_acc,dev_loss,dev_acc
0,1.791739821434021,0.1595,2.2161035537719727,0.16666666666666666
100,0.6043171882629395,0.717,0.7861067652702332,0.7179629629629629
200,0.5343608260154724,0.8415,0.48755931854248047,0.8385648148148148
300,0.6034201979637146,0.85225,0.44982701539993286,0.8529166666666667
400,0.42896872758865356,0.8705,0.40761715173721313,0.8641203703703704
500,0.3379884660243988,0.8775,0.3980523943901062,0.8667592592592592
600,0.40475979447364807,0.88725,0.36379751563072205,0.8800925925925925
700,0.2089458703994751,0.8785,0.36482709646224976,0.8773148148148148
800,0.389449805021286,0.8855,0.3438521921634674,0.887824074074074
900,0.4189843237400055,0.8905,0.34058257937431335,0.89
